Department,Category,Condition Group,Sales Week,Gross Revenue,Return Value,Net Item Revenue (Fulfilled),Gross Items (Fullfilled),Net Items (Fulfilled),Gross Orders (Fulfilled),Net Sell Through Items (Week),MSRP of Sold Items,Avg. Item Age When Sold,Avg. Item Age EOW,EOW Inventory For Sale $,EOW Inventory For Sale Items,MSRP of EOW Inventory
Kitchen and Dining,Gadgets,Perfect,1/13/19,194,0,194,4,4,5,0.31,243,14.63,27.02,614,9.9,698
Kitchen and Dining,Gadgets,Perfect,1/6/19,87,0,87,2,2,3,0.13,109,11.09,11.48,886,14,1006
Kitchen and Dining,Gadgets,Perfect,12/30/18,285.83,40.83,245,7,6,7,0.3,306,13.86,10.64,847,14,963
Kitchen and Dining,Gadgets,Perfect,12/23/18,1340,0,1340,19,19,16,0.66,1675,5.85,7.98,606,10,689
Kitchen and Dining,Gadgets,Perfect,12/16/18,950.4,86.4,864,11,10,10,0.3,1080,20.02,9.73,1739,23,1976
Kitchen and Dining,Gadgets,Perfect,12/9/18,396,0,396,7,7,7,0.28,495,41.81,22.12,1840,18,2091
Kitchen and Dining,Gadgets,Perfect,12/2/18,1359,0,1359,15,15,16,0.47,1699,19.87,24.5,1553,17,1765
Kitchen and Dining,Gadgets,Perfect,11/25/18,692,0,692,11,11,11,0.31,865,59.37,31.43,2456,24,2791
Kitchen and Dining,Gadgets,Perfect,11/18/18,985.6,89.6,896,11,10,9,0.23,1120,11.32,29.19,2988,33,3395
Kitchen and Dining,Gadgets,Perfect,11/11/18,568,0,568,6,6,6,0.14,710,37.42,26.88,3280,38,3728
Kitchen and Dining,Gadgets,Perfect,11/4/18,452.67,64.67,388,7,6,6,0.21,485,78.62,49.63,1686,23,1916
Kitchen and Dining,Gadgets,Perfect,10/28/18,188,0,188,3,3,3,0.19,235,52.13,99.96,602,13,684
Kitchen and Dining,Gadgets,Perfect,10/21/18,255.6,42.6,213,6,5,4,0.25,266,121.2,104.16,671,15,763
Kitchen and Dining,Gadgets,Perfect,10/14/18,143,0,143,3,3,3,0.14,179,73.54,98.84,837,19,951
Kitchen and Dining,Gadgets,Perfect,10/7/18,258,129,129,2,1,4,0.05,161,96.25,96.6,894,20,1016
Kitchen and Dining,Gadgets,Great,1/13/19,127.5,42.5,85,3,2,2,0.67,106,14.17,16.45,59,1,68
Kitchen and Dining,Gadgets,Great,1/6/19,0,0,0,0,0,0,0,0,0,12.67,158,3,180
Kitchen and Dining,Gadgets,Great,12/30/18,223.75,44.75,179,5,4,4,0.67,224,19.79,16.59,118,2,134
Kitchen and Dining,Gadgets,Great,12/23/18,284,142,142,4,2,2,0.29,178,5.7,12.81,283,5,321
Kitchen and Dining,Gadgets,Great,12/16/18,364.8,60.8,304,6,5,5,0.46,380,1.31,9.38,371,6,421
Kitchen and Dining,Gadgets,Great,12/9/18,82,0,82,2,2,2,0.33,103,94.86,24.15,293,4,333
Kitchen and Dining,Gadgets,Great,12/2/18,142,71,71,2,1,1,0.2,89,0.15,36.4,208,4,236
Kitchen and Dining,Gadgets,Great,11/25/18,522,87,435,6,5,5,0.56,544,8.09,21.07,208,4,236
Kitchen and Dining,Gadgets,Great,11/18/18,682.71,151.71,531,9,7,6,0.47,664,5.7,17.15,655,8,744
Kitchen and Dining,Gadgets,Great,11/11/18,201.33,50.33,151,4,3,3,0.2,189,3.77,12.6,834,12,948
Kitchen and Dining,Gadgets,Great,11/4/18,0,0,0,0,0,0,0,0,0,17.64,314,6,356
Kitchen and Dining,Gadgets,Great,10/28/18,81,0,81,2,2,2,0.67,101,14.01,50.33,45,1,51
Kitchen and Dining,Gadgets,Great,10/21/18,94,0,94,2,2,2,0.4,118,9.09,32.55,110,3,125
Kitchen and Dining,Gadgets,Great,10/14/18,100,50,50,2,1,1,0.25,63,13.4,34.16,132,3,150
Kitchen and Dining,Gadgets,Great,10/7/18,50,0,50,1,1,1,0.2,63,15.63,31.57,191,4,218
Kitchen and Dining,Gadgets,OK,12/16/18,56,0,56,1,1,1,1,70,1.23,3.71,0,0,0
Kitchen and Dining,Gadgets,OK,12/9/18,20,0,20,1,1,1,1,25,4.08,4.48,0,0,0
Kitchen and Dining,Gadgets,OK,12/2/18,0,0,0,0,0,0,0,0,0,6.72,22,1,25
Kitchen and Dining,Gadgets,OK,11/25/18,32,16,16,2,1,1,1,20,7.16,4.55,0,0,0
Kitchen and Dining,Gadgets,OK,11/18/18,280,140,140,2,1,1,0.5,175,6.39,6.44,13,1,15
Kitchen and Dining,Gadgets,OK,11/11/18,0,0,0,0,0,0,0,0,0,2.1,178,2,203
Kitchen and Dining,Gadgets,OK,11/4/18,280,0,280,2,2,2,1,350,0.54,1.96,0,0,0
Kitchen and Dining,Pots,Perfect,1/13/19,13,0,13,1,1,1,0.11,19,13.55,16.87,182,8,324
Kitchen and Dining,Pots,Perfect,1/6/19,0,0,0,0,0,0,0,0,0,12.04,196,9,350
Kitchen and Dining,Pots,Perfect,12/30/18,140,0,140,6,6,6,0.4,200,4.16,6.16,196,9,350
Kitchen and Dining,Pots,Perfect,12/23/18,58,0,58,3,3,3,0.27,83,17.71,5.39,217,8,387
Kitchen and Dining,Pots,Perfect,12/16/18,21,0,21,1,1,1,0.25,30,2,22.75,70,3,126
Kitchen and Dining,Pots,Perfect,12/9/18,134,0,134,6,6,6,0.75,191,213.75,109.83,37,2,67
Kitchen and Dining,Pots,Perfect,12/2/18,98.67,24.67,74,4,3,3,0.38,106,17.17,88.27,122,5,218
Kitchen and Dining,Pots,Perfect,11/25/18,84,0,84,2,2,2,0.22,120,54.59,105.98,139,7,248
Kitchen and Dining,Pots,Perfect,11/18/18,61.5,20.5,41,3,2,2,0.2,59,409.49,184.66,210,8,375
Kitchen and Dining,Pots,Perfect,11/11/18,21,0,21,1,1,1,0.1,30,406.1,215.53,205,9,365
Kitchen and Dining,Pots,Perfect,11/4/18,381.33,95.33,286,4,3,3,0.23,409,265.42,217.63,219,10,391
Kitchen and Dining,Pots,Perfect,10/28/18,167,0,167,6,6,4,0.33,239,134.06,196.21,249,12,444
Kitchen and Dining,Pots,Perfect,10/21/18,42,21,21,2,1,1,0.07,30,386.85,267.89,207,13,369
Kitchen and Dining,Pots,Perfect,10/14/18,115,0,115,4,4,4,0.22,164,205.13,270.48,221,14,395
Kitchen and Dining,Pots,Perfect,10/7/18,105,35,70,3,2,2,0.11,100,1,257.32,246,16,440
Kitchen and Dining,Pots,Great,12/23/18,126,63,63,2,1,1,1,90,2.54,11.55,0,0,0
Kitchen and Dining,Pots,Great,12/16/18,126,63,63,2,1,1,0.5,90,0.46,19.67,74,1,132
Kitchen and Dining,Pots,Great,12/9/18,678.7,61.7,617,11,10,10,1,881,2.62,5.04,0,0,0
Kitchen and Dining,Pots,Great,12/2/18,14.65,13.65,1,1,0,1,0,1,161.93,26.32,594,8,1061
Kitchen and Dining,Pots,Great,11/25/18,47,0,47,3,3,2,1,67,22.87,20.09,0,0,0
Kitchen and Dining,Pots,Great,11/18/18,170,85,85,2,1,1,0.25,121,4.08,13.93,56,3,100
Kitchen and Dining,Pots,Great,11/11/18,600,400,200,3,1,2,0.2,286,2.54,8.82,156,4,279
Kitchen and Dining,Pots,Great,11/4/18,439.5,146.5,293,3,2,2,0.4,419,2,5.81,216,3,385
Kitchen and Dining,Pots,Great,10/28/18,351,117,234,6,4,4,0.57,334,1.93,3.15,122,3,218
Kitchen and Dining,Pots,Great,10/21/18,154.5,51.5,103,3,2,2,0.33,147,38.04,11.83,74,4,132
Kitchen and Dining,Pots,Great,10/14/18,0,0,0,0,0,0,0,0,0,35,13,1,24
Kitchen and Dining,Pots,Great,10/7/18,88,44,44,2,1,1,0.5,63,25.64,44.1,13,1,24
Kitchen and Dining,Pots,OK,12/30/18,17,0,17,1,1,1,1,24,3.31,3.78,0,0,0
Kitchen and Dining,Pots,OK,12/23/18,0,0,0,0,0,0,0,0,0,1.68,20,1,35
Kitchen and Dining,Pots,OK,12/9/18,17,0,17,1,1,1,1,24,0.23,0.35,0,0,0
Kitchen and Dining,Pots,OK,12/2/18,4,0,4,1,1,1,1,6,65.6,60.48,0,0,0
Kitchen and Dining,Pots,OK,11/25/18,22,0,22,1,1,1,0.5,31,68.61,60.13,4,1,8
Kitchen and Dining,Pots,OK,11/18/18,154,0,154,1,1,1,0.33,220,12.4,39.27,29,2,51
Kitchen and Dining,Pots,OK,11/11/18,0,0,0,0,0,0,0,0,0,32.27,161,3,287
Kitchen and Dining,Pots,OK,11/4/18,0,0,0,0,0,0,0,0,0,27.37,161,3,287
Kitchen and Dining,Pots,OK,10/28/18,14,0,14,1,1,1,0.33,20,2.46,18.76,29,2,51
Kitchen and Dining,Pots,OK,10/21/18,0,0,0,0,0,0,0,0,0,22.54,45,3,81
Kitchen and Dining,Pots,OK,10/14/18,0,0,0,0,0,0,0,0,0,31.36,29,2,51
Kitchen and Dining,Pots,OK,10/7/18,78,39,39,2,1,1,0.33,56,21.25,25.97,29,2,51
Kitchen and Dining,Pans,Perfect,1/13/19,0,0,0,0,0,0,0,0,0,144.83,266,4,403
Kitchen and Dining,Pans,Perfect,1/6/19,342,171,171,2,1,1,0.2,285,97.1,129.78,266,4,403
Kitchen and Dining,Pans,Perfect,12/30/18,0,171,-171,0,-1,0,-0.33,-285,0,118.58,266,4,403
Kitchen and Dining,Pans,Perfect,12/23/18,0,0,0,0,0,0,0,0,0,174.58,172,2,260
Kitchen and Dining,Pans,Perfect,12/16/18,14,0,14,1,1,1,0.33,23,18.02,168.91,172,2,260
Kitchen and Dining,Pans,Perfect,12/9/18,183,0,183,2,2,2,0.33,305,42.97,126.63,207,4,313
Kitchen and Dining,Pans,Perfect,12/2/18,24,12,12,2,1,1,0.17,20,9.55,124.74,260,5,393
Kitchen and Dining,Pans,Perfect,11/25/18,268.5,89.5,179,3,2,2,0.25,298,81.47,109.97,273,6,413
Kitchen and Dining,Pans,Perfect,11/18/18,126,0,126,2,2,2,0.2,210,69.22,126.63,473,8,717
Kitchen and Dining,Pans,Perfect,11/11/18,128,0,128,1,1,1,0.13,213,53.52,121.94,510,7,773
Kitchen and Dining,Pans,Perfect,11/4/18,336,168,168,2,1,1,0.11,280,34.27,108.71,637,8,965
Kitchen and Dining,Pans,Perfect,10/28/18,439.5,146.5,293,3,2,2,0.2,488,66.91,106.12,800,8,1212
Kitchen and Dining,Pans,Perfect,10/21/18,56,28,28,2,1,1,0.09,47,12.71,94.36,1036,10,1570
Kitchen and Dining,Pans,Perfect,10/14/18,54,27,27,2,1,1,0.08,45,9.7,90.16,1069,11,1620
Kitchen and Dining,Pans,Perfect,10/7/18,0,126,-126,0,-1,0,-0.09,-210,0,81.27,1101,12,1668
Kitchen and Dining,Pans,Great,1/13/19,0,0,0,0,0,0,0,0,0,25.41,11,1,17
Kitchen and Dining,Pans,Great,1/6/19,30,20,10,3,1,1,0.5,17,6.62,19.46,11,1,17
Kitchen and Dining,Pans,Great,12/30/18,0,0,0,0,0,0,0,0,0,15.61,22,2,33
